Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
4540       532.73         -8.03            -15.56        307.4              20.90
4550       532.05         -8.06            -15.53        307.0              21.20
4560       531.37         -8.15            -15.55        307.8              21.30
4570       530.69         -8.25            -15.59        308.4              21.32
4580       530.01         -8.34            -15.61        308.2              21.21
4590       529.33         -8.42            -15.63        308.4              21.06
4600       528.65         -8.51            -15.65        309.3              20.98
4610       527.97         -8.60            -15.67        309.7              21.03
4620       527.30         -8.68            -15.66        309.5              21.21
4630       526.62         -8.74            -15.63        309.1              21.50
4640       525.94         -8.78            -15.58        308.2              21.72
4650       525.27         -8.80            -15.53        307.9              21.87
4660       524.59         -8.81            -15.49        308.2              22.02
4670       523.92         -8.84            -15.49        310.4              22.00
4680       523.24         -8.89            -15.51        312.7              21.95
4690       522.57         -8.97            -15.55        316.1              21.92
4700       521.90         -9.04            -15.59        318.9              21.74
4710       521.23         -9.12            -15.64        321.1              21.14
4720       520.56         -9.17            -15.66        322.9              20.35
4730       519.89         -9.28            -15.71        322.3              20.54
4740       519.22         -9.38            -15.77        321.7              20.72
4750       518.55         -9.48            -15.83        321.1              20.91
4760       517.88         -9.58            -15.88        320.5              21.09
4770       517.22         -9.68            -15.94        319.9              21.28
4780       516.55         -9.79            -16.00        319.3              21.46
4790       515.88         -9.88            -16.05        318.5              21.63
4800       515.22         -9.86            -16.02        315.3              21.50
4810       514.56         -9.85            -15.99        312.7              21.24
4820       513.89         -9.84            -15.98        311.1              20.83
4830       513.23         -9.85            -15.97        310.0              20.46
4840       512.57         -9.86            -15.98        309.9              20.31
4850       511.91         -9.93            -16.05        311.3              20.29
4860       511.25         -10.00           -16.13        312.7              20.29
4870       510.59         -10.06           -16.21        313.4              20.59
4880       509.93         -10.12           -16.30        313.1              20.92
4890       509.27         -10.16           -16.36        311.7              21.52
4900       508.62         -10.19           -16.42        310.0              21.92
4910       507.96         -10.17           -16.45        309.6              22.23
4920       507.30         -10.15           -16.49        309.8              22.71
4930       506.65         -10.14           -16.56        310.8              23.11
4940       505.99         -10.14           -16.65        312.0              23.05
4950       505.34         -10.17           -16.77        313.7              22.92
4960       504.69         -10.19           -16.87        314.7              22.92
4970       504.04         -10.22           -16.98        315.0              22.87
4980       503.39         -10.21           -17.05        314.3              22.73
4990       502.74         -10.19           -17.12        313.0              22.60
5000       502.09         -10.16           -17.21        310.7              22.50
5010       501.44         -10.16           -17.30        308.9              22.39
5020       500.79         -10.18           -17.43        307.0              22.23
5030       500.14         -10.20           -17.52        306.6              22.13
5040       499.50         -10.23           -17.62        306.5              22.15
5050       498.85         -10.27           -17.72        306.7              22.52
5060       498.21         -10.31           -17.82        307.0              22.75
5070       497.56         -10.39           -17.97        307.0              23.01
5080       496.92         -10.52           -18.16        307.0              23.48
5090       496.28         -10.65           -18.33        307.0              24.01
5100       495.64         -10.72           -18.40        305.8              24.41
5110       494.99         -10.77           -18.44        305.1              24.46
5120       494.35         -10.80           -18.45        304.9              24.43
5130       493.71         -10.83           -18.45        305.4              24.43
5140       493.08         -10.86           -18.45        305.4              24.47
5150       492.44         -10.89           -18.46        305.7              24.56
5160       491.80         -10.93           -18.47        306.2              24.67
5170       491.16         -11.05           -18.54        306.3              24.92
5180       490.53         -11.17           -18.63        305.7              25.33
5190       489.89         -11.30           -18.72        305.0              25.77
5200       489.25         -11.44           -18.83        305.0              26.31
5210       488.62         -11.55           -18.89        306.7              26.01
5220       487.99         -11.65           -18.96        308.3              25.70
5230       487.35         -11.75           -19.03        310.0              25.39
5240       486.72         -11.85           -19.09        311.7              25.08
5250       486.09         -11.95           -19.16        313.3              24.77
5260       485.46         -12.03           -19.21        316.6              23.99
5270       484.82         -12.07           -19.22        315.6              24.24
